RG. No.,Title,Arabic Title,I. No.,F. No.,Verified,Earliest autheniticaing mss.,Historic Ms.,Type of authentification,Incipit,Column1,Column2,Column3,Column4,Column5,Column6
10,K. al-Ajwiba,كتاب الاجوبة اللايقة,,,Unverified.,980,,,al-ḥamdu lillāh alladhī laysa ka-mithlihi shayʾun wa-huwa al-samīʿ al-baṣīr,,,,,,
64,K. al-Awrād al-usbūʿiyya,الاوراد العسبوعية,,,Probable IA.,939,"
",,,,,,,,
68,K. al-Azal,كتاب الازل,92,86,Verified A,615,Y,H,al-ḥamdu lillāh  al-dāʾim al-ladhī lam yuzal ,,,,,,
70,"K. al-ʿAẓama 
",كتاب العظمة,88,78,Verified A.737,617,Y,H,al-ḥamdu lillāh mubdiʿu al-thānī fi’l-mathānī ,,,,,,
71,K. al-Bāʾ,كتاب الباء,,79,Verified A.,<638,Y,H, سَأَل من تعزَّ عليّ مسْألته وَ تنجحُ لدَيّ طلبتُه... الحمد لله بالله فإنّه أثبت لعيْني وَ أبْقَى لكوْني,,,,,,
91,Bulghat al-ghawwāṣ,بلغة الغواص,,,Not IA.,,,,al-ḥamdu lillāh wa-salām ʿalā ibādihi alladhī iṣṭafā wa-ṣalawātuhu ʿalā sayyidinā Muḥammad wa-ālihi wa-ṣaḥbihi. Subḥānuka Allāhumma wa-biḥamdika tabāraka ismuka...,,,,,,
98,Daʿwat al-asmāʾ al-ḥusnā,دعوة الأسماء الحسنى,,,Unverified.,>1100,,,,,,,,,
103,Dīwān ishrāq al-bahāʾ,ديوان !شراق البهاء,,,Extract.,,,,,,,,,,
125,K. al-Fanāʾ fī al-mushāhada,كتاب الفناء في المشاهدة,,,Verified A,<700,,C,al-ḥamdu lillāh alladhī qaddara wa-qaḍā ,,,,,,
135,al-Futūḥāt al-Makkiyya,الفتوحات المكية,50,50,Verified A,636,Y,H,,,,,,,
150,Fuṣūṣ al-ḥikam,فصوص الحكم,194,187,Verified A.,630,Y,A,al-ḥamdu lillāh munzil al-ḥikam ʿalā qulūb al-kalim,,,,,,
205,K. al-Hū,كتاب الهو,80,75,Verified A.,761,Y,C,,,,,,,
219,K. al-Ḥaqq,كتاب الحق,129,119,Verified A.,621,Y,A,al-hamdu lil-dhāt al-wāḥida min jamīʿ al-wujūh ,,,,,,
237,Ḥilyat al-abdāl,حلية الابدال,48,48,Verified A.,602,Y,C,al-ḥamdu lillāh ʿalā mā alḥama wa-in ʿallamanā mā lam nakun naʿlam,,,,,,
242,Ḥizb al-shaykh al-akbar,حزب الشيخ الاكبر,,,Extract.,,,,,,,,,,
244,Ḥizb al-wiqāya,حزب الوقاية,,,Probable IA.,994,,,,,,,,,
255,K. al-Khalwa,كتاب الخلوة,64,,Verified A.,<668,Y,C,al-ḥamdu lillāh alladhī alhama al-ṣafwa min ʿibādihi ,,,,,,
266,K. al-Ifāda li man arāda al-istifāda,كتاب الإفادة لمن اراد الإستفادة,,,Verified A.,664,Y,C,haḍrat ummahāt al-maʿārif ,,,,,,
269,Ijāza lil-malik al-Muẓaffar,إجازة للملك المظفر,,,Verified B.,<800,,,,,,,,,
276,Ikhtiṣār al-sīra al-nabawiyya al-Muḥammadiyya,إختصار السيرة النبوية المحمدية,198,190,Verified B,701,,,,,,,,,
293,K. al-Insān al-kullī,كتاب الإنسان الكلي,,,Unverified.,1057,,,al-ḥamdu lillāh alladhī fataḥa wujūd al-ʿālam al-takwīn ,,,,,,
303,Ishārat al-Qurʾān fī ʿālam al-insān,إشارات القرآن في عالم الإنسان,56,54,Verified A.,762,Y,C,al-ḥamdu lillāh mursil al-ʿawārif wa-munzil al-laṭāʾif ,,,,,,
317,R. al-Ittiḥād al-kawnī,رسالة الإتحاد الكوني,67,63,Verified A.,621,Y,C,sammaytu hadhahu al-risāla ,,,,,,
2,K. al-ʿAbādilah,كتاب العبادله,188,177,Verified A.,<638,Y,H,al-ḥamdu lillāh ḥamd al-ḥamd ,,,,,,
323,R. al-Kalām ʿalā ḥurūf al-muʿjam wa-maʿānīhā,رسالة الكلام على حروف المعجم ومعانيها,,,Unverified.,789,,,al-ḥamdu lillāh rabb al-ʿālamīn wa-l-ṣalawāt ʿalā al-nabī Muḥammad wa-ālihi ajmaʿīn,,,,,,
338,K. Kashf al-maʿnā ,كتاب كشف المعنى,17,17,Verified B.,783,Y?,,qāla Allāh taʿālā wa-lillāh al-asmāʾ al-ḥusnā fa-adʿūhu bihā,,,,,,
339,K. Kashf al-rān ʿan wajh al-bayān,كتاب كشف الران عن وجه البيان,,,Not IA.,,,,,,,,,,
352,K. Kunh mā lā budda lil-murīd minhu,كتاب كنه ما لا بد للمريد منه,14,14,Verified A.,724,Y,C,al-ḥamdu lillāh  rabb al-ʿalamīn wa-ʿāqibuhu lil-muttaqīn wa-ṣallī Allāh sayyidinā Muḥammad,,,,,,
182,Jawāb suʾāl Ibn Sawdakīn,جواب سوال ابن سودكين,,,Verified A.,<638,Y,C,,,,,,,
378,K. al-Maʿārij,كتاب المعارج,,,Not IA.,,,,,,,,,,
388.1,Majmūʿat al-awrād (Wird al-kibrit al-ahmar),؟,,,OY duplicate.,,,,,,,,,,
392,K. al-Maḥajja al-bayḍāʾ,كتاب المحجة البيضاء,28,27,Verified A.,600,Y,H,,,,,,,
