Timestamp	Filename	Error	Message
2024-07-03 15:24:06.079 +0100	Best Ms List.fmp12	0	*** Started consistency check of improperly closed file, total of 2611 block(s) to check
2024-07-03 15:24:06.266 +0100	Best Ms List.fmp12	0	Reset maximum block sequence number to 3529667
2024-07-03 15:24:06.266 +0100	Best Ms List.fmp12	0	*** Completed consistency check, checked 2611 block(s)
2024-07-03 15:24:06.279 +0100	Best Ms List  Collections.fmp12	0	*** Started consistency check of improperly closed file, total of 802 block(s) to check
2024-07-03 15:24:06.327 +0100	Best Ms List  Collections.fmp12	0	Reset maximum block sequence number to 130673
2024-07-03 15:24:06.327 +0100	Best Ms List  Collections.fmp12	0	*** Completed consistency check, checked 802 block(s)
2024-07-09 14:57:49.460 +0100	MIAS Lib Classn.fmp12	0	*** Started consistency check of improperly closed file, total of 1089 block(s) to check
2024-07-09 14:57:49.518 +0100	MIAS Lib Classn.fmp12	0	Reset maximum block sequence number to 251696
2024-07-09 14:57:49.518 +0100	MIAS Lib Classn.fmp12	0	*** Completed consistency check, checked 1089 block(s)
2024-07-09 15:01:22.190 +0100	MIAS Lib Classn.fmp12	0	*** Started consistency check of improperly closed file, total of 1089 block(s) to check
2024-07-09 15:01:22.231 +0100	MIAS Lib Classn.fmp12	0	Reset maximum block sequence number to 251696
2024-07-09 15:01:22.231 +0100	MIAS Lib Classn.fmp12	0	*** Completed consistency check, checked 1089 block(s)
2024-07-10 10:17:35.248 +0100	MIAS Lib Classn.fmp12	0	*** Started consistency check of improperly closed file, total of 1094 block(s) to check
2024-07-10 10:17:35.312 +0100	MIAS Lib Classn.fmp12	8432	Page 1094 marked free but not in free list
2024-07-10 10:17:35.312 +0100	MIAS Lib Classn.fmp12	0	Reset maximum block sequence number to 252352
2024-07-10 10:17:35.312 +0100	MIAS Lib Classn.fmp12	0	*** Completed consistency check, checked 1094 block(s)
2024-07-13 14:06:51.659 +0100	MIAS Lib Classn 2.0.fmp12	0	*** Started consistency check of improperly closed file, total of 1091 block(s) to check
2024-07-13 14:06:51.694 +0100	MIAS Lib Classn 2.0.fmp12	0	Reset maximum block sequence number to 251710
2024-07-13 14:06:51.694 +0100	MIAS Lib Classn 2.0.fmp12	0	*** Completed consistency check, checked 1091 block(s)
2024-08-23 17:09:11.726 +0100	Best Ms List.fmp12	0	*** Started consistency check of improperly closed file, total of 2619 block(s) to check
2024-08-23 17:09:11.866 +0100	Best Ms List.fmp12	8432	Page 1684 marked free but not in free list
2024-08-23 17:09:11.898 +0100	Best Ms List.fmp12	8432	Page 2600 marked free but not in free list
2024-08-23 17:09:11.898 +0100	Best Ms List.fmp12	8432	Page 2619 marked free but not in free list
2024-08-23 17:09:11.898 +0100	Best Ms List.fmp12	0	Reset maximum block sequence number to 3551908
2024-08-23 17:09:11.898 +0100	Best Ms List.fmp12	0	*** Completed consistency check, checked 2619 block(s)
2024-08-23 17:21:27.762 +0100	MIAS Lib Classn 2.0.fmp12	0	*** Started consistency check of improperly closed file, total of 1091 block(s) to check
2024-08-23 17:21:27.829 +0100	MIAS Lib Classn 2.0.fmp12	0	Reset maximum block sequence number to 281221
2024-08-23 17:21:27.829 +0100	MIAS Lib Classn 2.0.fmp12	0	*** Completed consistency check, checked 1091 block(s)
2024-08-23 17:22:05.917 +0100	Best Ms List.fmp12	0	*** Started consistency check of improperly closed file, total of 2619 block(s) to check
2024-08-23 17:22:06.074 +0100	Best Ms List.fmp12	8432	Page 1684 marked free but not in free list
2024-08-23 17:22:06.105 +0100	Best Ms List.fmp12	8432	Page 2600 marked free but not in free list
2024-08-23 17:22:06.105 +0100	Best Ms List.fmp12	8432	Page 2619 marked free but not in free list
2024-08-23 17:22:06.105 +0100	Best Ms List.fmp12	0	Reset maximum block sequence number to 3551908
2024-08-23 17:22:06.105 +0100	Best Ms List.fmp12	0	*** Completed consistency check, checked 2619 block(s)
2024-08-23 18:28:03.911 +0100	MIAS Lib Classn 2.0.fmp12	0	*** Started consistency check of improperly closed file, total of 1091 block(s) to check
2024-08-23 18:28:03.956 +0100	MIAS Lib Classn 2.0.fmp12	0	Reset maximum block sequence number to 282637
2024-08-23 18:28:03.956 +0100	MIAS Lib Classn 2.0.fmp12	0	*** Completed consistency check, checked 1091 block(s)
2024-08-23 18:28:34.484 +0100	Best Ms List.fmp12	0	*** Started consistency check of improperly closed file, total of 2619 block(s) to check
2024-08-23 18:28:34.611 +0100	Best Ms List.fmp12	8432	Page 1684 marked free but not in free list
2024-08-23 18:28:34.634 +0100	Best Ms List.fmp12	8432	Page 2600 marked free but not in free list
2024-08-23 18:28:34.634 +0100	Best Ms List.fmp12	8432	Page 2619 marked free but not in free list
2024-08-23 18:28:34.634 +0100	Best Ms List.fmp12	0	Reset maximum block sequence number to 3551908
2024-08-23 18:28:34.634 +0100	Best Ms List.fmp12	0	*** Completed consistency check, checked 2619 block(s)
2024-08-23 18:31:16.658 +0100	MIAS Lib Classn 2.0.fmp12	0	*** Started consistency check of improperly closed file, total of 1091 block(s) to check
2024-08-23 18:31:16.698 +0100	MIAS Lib Classn 2.0.fmp12	0	Reset maximum block sequence number to 282637
2024-08-23 18:31:16.698 +0100	MIAS Lib Classn 2.0.fmp12	0	*** Completed consistency check, checked 1091 block(s)
2024-08-23 18:31:47.243 +0100	Best Ms List.fmp12	0	*** Started consistency check of improperly closed file, total of 2619 block(s) to check
2024-08-23 18:31:47.360 +0100	Best Ms List.fmp12	8432	Page 1684 marked free but not in free list
2024-08-23 18:31:47.380 +0100	Best Ms List.fmp12	8432	Page 2600 marked free but not in free list
2024-08-23 18:31:47.380 +0100	Best Ms List.fmp12	8432	Page 2619 marked free but not in free list
2024-08-23 18:31:47.380 +0100	Best Ms List.fmp12	0	Reset maximum block sequence number to 3551908
2024-08-23 18:31:47.380 +0100	Best Ms List.fmp12	0	*** Completed consistency check, checked 2619 block(s)
2024-08-23 18:33:10.222 +0100	MIAS Lib Classn 2.0.fmp12	0	*** Started consistency check of improperly closed file, total of 1091 block(s) to check
